Year,Date,HomeTeam,AwayTeam,HomeTeamCity,AwayTeamCity,HomeTeamOffense,HomeTeamDefense,AwayTeamOffense,AwayTeamDefense,HomeScore,AwayScore,HomeWin,HomeWinProbability,FieldGoalPercentage_Home,FieldGoalPercentage_Away,Attendance
2023,2023-08-04,Team H,Team F,Chicago,Miami,83,83,83,89,63,66,0,0.6,0.44335233351129283,0.49363608886092625,12341
2023,2023-03-07,Team C,Team G,Miami,Toronto,90,89,93,82,79,91,0,0.44999999999999996,0.48765476385472906,0.49162587850628126,9941
2020,2020-03-18,Team G,Team A,Toronto,Toronto,80,75,92,78,84,105,0,0.1,0.3737934784856002,0.48363603555410234,8963
2023,2023-01-12,Team E,Team J,Chicago,Philadelphia,79,81,80,85,60,60,0,0.5499999999999999,0.4626363968752631,0.4983280222681847,11427
2021,2021-07-30,Team D,Team I,Philadelphia,Philadelphia,78,71,81,79,70,96,0,0.44999999999999996,0.48329224923686503,0.41893589095529904,8511
2022,2022-06-17,Team F,Team I,Miami,Dallas,89,71,85,74,98,102,0,0.8,0.49372767567237485,0.5019569896910252,11969
2023,2023-12-21,Team G,Team J,Los Angeles,Philadelphia,93,73,92,72,111,110,1,0.65,0.5117087597408885,0.4568845803486563,10671
2021,2021-07-13,Team A,Team J,Dallas,Los Angeles,92,88,85,77,81,65,1,0.9,0.5259484049344986,0.5003202521882433,9459
2023,2023-09-11,Team C,Team I,Houston,Miami,87,89,91,71,97,77,1,0.39999999999999997,0.5122279772992215,0.5115720456019117,12513
2023,2023-07-30,Team A,Team C,Los Angeles,Phoenix,84,89,92,85,62,68,0,0.19999999999999996,0.48079841784249705,0.46464217213928993,8686
2021,2021-05-07,Team G,Team J,Philadelphia,Toronto,89,79,80,87,60,71,0,0.9,0.5145328842649376,0.4817180824977746,8660
2021,2021-10-14,Team I,Team H,Los Angeles,Chicago,81,82,88,82,82,92,0,0.24999999999999994,0.43410963459770435,0.519454085194692,11789
2022,2022-12-29,Team D,Team F,Boston,Philadelphia,87,80,82,84,83,70,1,0.85,0.5176450824028528,0.42400846588705315,14444
2021,2021-12-29,Team I,Team G,Phoenix,Houston,93,81,93,80,114,109,1,0.6,0.47986423524397825,0.5274764694816342,11538
2023,2023-01-01,Team I,Team G,Chicago,Chicago,75,80,87,89,60,83,0,0.1,0.49610321788206363,0.4872354776325537,12697
2020,2020-06-29,Team A,Team G,Dallas,Phoenix,93,72,77,83,93,83,1,0.9,0.5046106766773507,0.5063293331811541,10757
2022,2022-03-01,Team F,Team H,New York,Toronto,80,79,85,76,73,80,0,0.35,0.49596806117785064,0.48621425331440565,10170
2023,2023-12-26,Team I,Team A,Toronto,Philadelphia,89,72,76,81,99,69,1,0.9,0.4766977803772791,0.48956689912900514,11280
2021,2021-06-08,Team F,Team E,Phoenix,Toronto,84,80,89,76,95,77,1,0.35,0.5209867111216704,0.48974582734119204,9694
2020,2020-04-17,Team A,Team G,Philadelphia,Houston,87,71,87,82,76,106,0,0.6,0.46604265158636504,0.42956590874239764,8846
2022,2022-01-28,Team D,Team A,Houston,Philadelphia,94,87,87,79,101,71,1,0.9,0.5379306931498898,0.48113801340894885,11075
2020,2020-06-12,Team H,Team J,Houston,Dallas,81,83,82,86,61,68,0,0.5499999999999999,0.5256551863683301,0.4945171359264632,10964
2022,2022-07-23,Team H,Team J,Los Angeles,Miami,89,87,87,74,104,60,1,0.7,0.5202575414862997,0.5074397154657938,12158
2022,2022-03-21,Team B,Team E,Miami,Philadelphia,87,72,92,79,76,115,0,0.35,0.46034506089667415,0.5280907478632553,13702
2023,2023-09-29,Team G,Team B,Toronto,Phoenix,80,88,76,80,63,60,1,0.8,0.4793441850900064,0.5030093623342228,6086
2022,2022-12-08,Team E,Team I,Toronto,Dallas,92,71,91,81,81,112,0,0.65,0.48045824083293126,0.44279453752159925,8855
2022,2022-10-27,Team D,Team G,Philadelphia,Philadelphia,77,80,91,73,70,102,0,0.1,0.4856151238307346,0.4429710691640268,13705
2022,2022-06-21,Team H,Team I,Houston,Philadelphia,94,76,79,84,99,68,1,0.9,0.5324137794414943,0.48268472131485735,10542
2022,2022-01-21,Team G,Team J,Houston,Toronto,82,84,78,84,62,60,1,0.8,0.4526329244738288,0.4373117086967874,15822
2023,2023-01-06,Team D,Team H,Miami,Chicago,91,88,94,82,86,69,1,0.44999999999999996,0.4383369935260654,0.4817060286288843,12260
2021,2021-08-22,Team A,Team E,Phoenix,New York,80,85,84,85,62,60,1,0.39999999999999997,0.5001187186834479,0.46170634296308144,9254
2020,2020-07-30,Team D,Team E,Chicago,Philadelphia,89,85,80,72,109,60,1,0.9,0.4592371307870983,0.4300022132187492,9720
2020,2020-10-01,Team F,Team I,Miami,Houston,80,88,89,78,82,89,0,0.14999999999999997,0.4811029202577989,0.46446270413927004,11180
2022,2022-09-13,Team A,Team J,Los Angeles,Philadelphia,86,71,79,85,76,96,0,0.9,0.5000601457583025,0.5224335756797416,10017
2020,2020-06-12,Team B,Team F,Phoenix,Philadelphia,79,74,88,79,73,90,0,0.14999999999999997,0.49707503378886764,0.501724494619562,8047
2021,2021-06-09,Team E,Team G,Boston,Dallas,93,74,81,82,110,75,1,0.9,0.47868517442389313,0.4890655407368556,12177
2023,2023-02-29,Team C,Team D,Los Angeles,Miami,87,86,91,78,96,88,1,0.39999999999999997,0.4567184237523574,0.4831503045111702,13850
2020,2020-12-01,Team E,Team B,Phoenix,Boston,91,78,90,86,79,95,0,0.65,0.46762854346978655,0.4618981302360641,6625
2021,2021-09-07,Team B,Team F,Miami,Miami,81,81,92,88,60,107,0,0.1,0.49712883674610164,0.4898373383609671,10511
2021,2021-03-12,Team G,Team H,Miami,Miami,83,73,80,88,60,78,0,0.75,0.4863048258457152,0.4954289921436101,14117
2023,2023-08-10,Team A,Team H,Philadelphia,Los Angeles,93,83,83,87,92,75,1,0.9,0.4786181456154895,0.47936198666610313,10080
2022,2022-05-19,Team F,Team G,Miami,Toronto,76,85,89,70,80,85,0,0.1,0.44677911196961617,0.49169147665629076,12963
2022,2022-11-17,Team D,Team H,New York,Dallas,75,79,92,71,86,99,0,0.1,0.48613600917951244,0.4970308913565404,9609
2022,2022-04-21,Team G,Team D,Phoenix,Phoenix,91,73,76,80,110,86,1,0.9,0.4468628287399272,0.5013723384364999,13039
2021,2021-03-23,Team J,Team E,Dallas,Houston,83,83,79,71,105,60,1,0.8,0.46136905728709665,0.4655237022147061,11400
2020,2020-01-16,Team B,Team J,Philadelphia,Boston,88,75,86,85,61,101,0,0.7,0.4946475799402991,0.5162553079863295,6770
2023,2023-05-07,Team A,Team E,Phoenix,Toronto,78,78,78,70,100,60,1,0.6,0.4954867297789397,0.4426388695773985,12947
2020,2020-05-23,Team J,Team G,Boston,Dallas,90,87,77,86,70,60,1,0.9,0.5265272633962143,0.45403026263004964,12403
2020,2020-11-07,Team H,Team F,New York,Houston,93,78,75,89,83,60,1,0.9,0.4850441502065788,0.4934976788464647,12396
2023,2023-12-19,Team I,Team F,Phoenix,Chicago,93,82,82,79,81,60,1,0.9,0.4909972812538851,0.44776828222510107,13486
2023,2023-01-25,Team A,Team H,Los Angeles,Dallas,92,82,91,75,109,85,1,0.65,0.5096259704596611,0.49039638683469655,8551
2020,2020-10-15,Team C,Team G,Chicago,Boston,75,73,90,83,62,99,0,0.1,0.46998810286742193,0.44091550117417727,11811
2020,2020-07-24,Team J,Team C,Philadelphia,Los Angeles,94,76,92,80,102,96,1,0.7,0.47530842053890754,0.42504017696184687,9616
2022,2022-11-02,Team C,Team A,Chicago,Los Angeles,85,84,82,80,67,71,0,0.75,0.48813267975510016,0.4364769320006023,11540
2023,2023-11-15,Team I,Team G,New York,Chicago,79,78,80,84,60,74,0,0.5499999999999999,0.4520462721504268,0.46582056595740423,13031
2020,2020-06-02,Team G,Team J,Philadelphia,Dallas,85,78,92,85,66,80,0,0.24999999999999994,0.4954218513294696,0.5177583240326169,10015
2023,2023-02-12,Team I,Team F,Los Angeles,Dallas,77,83,86,84,60,70,0,0.14999999999999997,0.4774867051567212,0.5110025986889157,17122
2023,2023-07-23,Team F,Team J,Toronto,Houston,86,88,83,83,88,60,1,0.75,0.492776829320355,0.5128824354920226,12972
2021,2021-01-10,Team E,Team B,Phoenix,Phoenix,81,75,89,78,65,116,0,0.19999999999999996,0.4518624729676197,0.4942949457148877,8540
2023,2023-07-29,Team C,Team F,Houston,Chicago,83,85,79,72,93,60,1,0.8,0.4438785147161695,0.4657873642330539,13287
2022,2022-09-13,Team H,Team J,Houston,Boston,82,89,88,74,85,67,1,0.29999999999999993,0.4261644153782184,0.45883762002219924,12547
2023,2023-09-08,Team I,Team E,Philadelphia,Chicago,84,72,81,82,71,80,0,0.75,0.495545780199027,0.48686098782301496,11463
2021,2021-12-16,Team I,Team A,Houston,Philadelphia,85,88,78,85,60,60,0,0.9,0.464322979110434,0.5037319662428251,13653
2021,2021-07-15,Team B,Team F,Phoenix,Toronto,88,70,88,76,112,104,1,0.6,0.4293914744346854,0.4449823067522991,7395
2020,2020-11-02,Team E,Team D,Phoenix,Los Angeles,84,76,76,79,87,64,1,0.9,0.4963583203142436,0.46239197287584305,11932
2021,2021-06-15,Team B,Team E,New York,Chicago,84,73,77,72,106,96,1,0.9,0.5182226242671193,0.432513611450569,10666
2020,2020-05-08,Team A,Team H,Phoenix,Miami,75,71,80,73,91,80,1,0.35,0.44645135131458447,0.47222106531833113,15059
2021,2021-11-05,Team F,Team G,Philadelphia,Phoenix,90,88,75,80,97,60,1,0.9,0.45135367717853814,0.4864806059639261,13548
2023,2023-04-11,Team H,Team I,Toronto,Houston,87,77,91,78,92,100,0,0.39999999999999997,0.5146382252207585,0.4746182739626506,13032
2020,2020-06-09,Team C,Team J,Philadelphia,Miami,86,76,83,84,90,90,0,0.75,0.44399309813649296,0.42217264163106444,10291
2022,2022-08-22,Team C,Team I,Boston,Miami,75,77,86,78,64,88,0,0.1,0.4293813322155624,0.4912448455979815,9406
2023,2023-08-13,Team A,Team C,Philadelphia,Los Angeles,80,71,82,88,62,78,0,0.5,0.5219343725602087,0.4402201768826802,11869
2022,2022-12-13,Team H,Team D,Philadelphia,New York,91,73,81,77,98,79,1,0.9,0.4406978785069795,0.5076829149314499,16454
2022,2022-04-30,Team A,Team G,Miami,Toronto,84,82,86,82,87,82,1,0.5,0.4639696786959041,0.42446321402029674,7900
2020,2020-03-04,Team F,Team A,Phoenix,New York,91,70,89,78,90,124,0,0.7,0.5237625328955636,0.46113847180323503,11987
2023,2023-09-07,Team A,Team I,Toronto,Los Angeles,86,74,88,89,85,96,0,0.5,0.4726163811929924,0.44635723921495474,9167
2023,2023-10-20,Team J,Team E,Toronto,Boston,93,76,79,88,78,79,0,0.9,0.4556377591630938,0.4713322907976454,11553
2020,2020-03-18,Team A,Team C,Toronto,Miami,85,86,92,73,107,97,1,0.24999999999999994,0.4994232326643813,0.5234657260481446,9839
2023,2023-09-02,Team G,Team D,New York,Los Angeles,89,88,88,89,60,69,0,0.65,0.504796217549702,0.5461773535745996,15141
2020,2020-03-05,Team E,Team B,Houston,Boston,88,76,76,86,64,61,1,0.9,0.48797529325624356,0.444666382256874,8832
2023,2023-05-07,Team F,Team D,Phoenix,Philadelphia,85,84,88,86,82,84,0,0.44999999999999996,0.4558900787635096,0.42365995507659804,10259
2022,2022-03-14,Team I,Team H,Phoenix,Toronto,86,71,79,84,77,91,0,0.9,0.4802394614437394,0.4456531478695389,12267
2023,2023-03-29,Team C,Team I,Dallas,New York,85,75,76,89,75,78,0,0.9,0.46419563389707647,0.4945381776964317,12389
2023,2023-03-28,Team I,Team C,Boston,Phoenix,93,87,93,88,61,85,0,0.6,0.5087459012724135,0.523702721835134,14968
2023,2023-01-23,Team C,Team B,Phoenix,Dallas,76,87,89,79,80,60,1,0.1,0.44406278426162793,0.44979262647691526,11009
2021,2021-05-04,Team A,Team I,Toronto,Miami,77,78,83,89,60,89,0,0.29999999999999993,0.5270820276965685,0.510006584004424,7768
2023,2023-07-09,Team B,Team E,Dallas,Los Angeles,84,85,84,82,63,72,0,0.6,0.47493425516088544,0.48853374282416073,12979
2023,2023-03-06,Team I,Team J,Toronto,Houston,81,72,78,86,68,73,0,0.75,0.5021038605987544,0.46774249255775446,12774
2021,2021-09-02,Team D,Team A,Phoenix,New York,86,83,80,83,72,71,1,0.9,0.489988169041259,0.4653561717603022,9648
2023,2023-09-07,Team B,Team J,Miami,New York,82,85,83,73,84,71,1,0.5499999999999999,0.45740323408657824,0.4969182353155593,14150
2022,2022-06-19,Team D,Team H,Dallas,Boston,78,81,75,88,60,60,0,0.75,0.5204704324898651,0.5260066637142797,10932
2020,2020-05-08,Team H,Team G,New York,Houston,85,85,77,81,66,65,1,0.9,0.4863531186719699,0.4642857303019861,12457
2022,2022-06-08,Team C,Team I,Boston,Toronto,89,73,90,87,65,109,0,0.5499999999999999,0.5058894209176237,0.4779344994883113,9487
2022,2022-04-03,Team B,Team E,Chicago,Los Angeles,79,88,80,78,72,60,1,0.5499999999999999,0.4752085269033974,0.38965260858466766,8154
2023,2023-07-05,Team H,Team A,Toronto,Phoenix,88,71,94,88,67,115,0,0.29999999999999993,0.5025463285833931,0.5501121734943674,10604
2020,2020-12-23,Team D,Team E,Dallas,Toronto,82,72,94,75,83,119,0,0.1,0.5056928844366965,0.47122275291029764,11390
2022,2022-08-22,Team A,Team F,Dallas,Houston,88,87,79,82,82,60,1,0.9,0.4514330556117459,0.5099696524857459,10917
2020,2020-04-23,Team F,Team I,Miami,Los Angeles,94,87,91,76,96,65,1,0.75,0.5132341372941084,0.48807232205750584,8046
2021,2021-08-04,Team C,Team D,Miami,Los Angeles,76,79,76,80,64,70,0,0.6,0.5170548267516336,0.4167005000020947,8636
2021,2021-01-23,Team B,Team E,Chicago,Miami,79,78,81,82,73,86,0,0.5,0.4751079902999739,0.4748014002025102,8928
2022,2022-04-27,Team B,Team E,Houston,Boston,76,86,78,79,65,60,1,0.5,0.4765737153725021,0.5230193620993819,10541
2023,2023-09-05,Team C,Team A,Chicago,Philadelphia,80,78,88,84,64,85,0,0.19999999999999996,0.5062319487486027,0.5211262634190016,11045
2022,2022-04-30,Team G,Team B,Philadelphia,Miami,83,72,80,78,77,85,0,0.75,0.47768661559542924,0.49278322376482975,12600
2022,2022-01-20,Team G,Team B,Houston,Toronto,81,72,80,72,87,88,0,0.65,0.4508512436235419,0.4735321292860904,12952
2022,2022-05-30,Team C,Team B,Los Angeles,Toronto,79,75,86,77,75,84,0,0.24999999999999994,0.5187864130477674,0.5160064342006875,13850
2022,2022-09-12,Team G,Team H,Los Angeles,Houston,78,88,88,74,77,62,1,0.1,0.4725191989243085,0.4821785998009649,12787
2021,2021-03-13,Team I,Team G,Toronto,Miami,88,72,90,78,100,90,1,0.5,0.50102955156088,0.4965617017067597,14351
2020,2020-09-27,Team J,Team B,Philadelphia,Dallas,81,83,85,70,103,62,1,0.39999999999999997,0.5068741090234149,0.49913580797938184,13337
2020,2020-05-04,Team I,Team H,Houston,Toronto,94,83,94,86,74,127,0,0.6,0.4672851020196479,0.5113200940112971,9020
2023,2023-04-26,Team C,Team A,Boston,Phoenix,76,80,80,80,61,60,1,0.39999999999999997,0.4056832718497867,0.48549196626185404,14468
2022,2022-09-24,Team I,Team D,Philadelphia,Los Angeles,80,70,94,73,92,124,0,0.1,0.4490919850852777,0.4517107288695807,10868
2021,2021-11-09,Team J,Team C,Los Angeles,Philadelphia,83,79,80,78,81,62,1,0.75,0.48696619293792015,0.46005007262196074,10456
2023,2023-09-09,Team D,Team G,Toronto,Dallas,86,81,82,72,82,69,1,0.8,0.4903793814113118,0.48194962831814786,13273
2022,2022-12-21,Team D,Team B,Chicago,Los Angeles,90,83,91,83,76,76,0,0.5499999999999999,0.43500039470856083,0.5056856226712689,9815
2020,2020-11-28,Team H,Team A,New York,Dallas,82,75,94,80,76,126,0,0.1,0.46372541575477916,0.48766192514095125,10793
2023,2023-08-27,Team H,Team G,Houston,Dallas,78,77,75,78,68,60,1,0.75,0.48197474453625877,0.5107712341661056,11753
2020,2020-03-23,Team A,Team J,Houston,Boston,84,78,86,72,89,84,1,0.5,0.43074920476111106,0.46940198209643014,11638
2020,2020-10-14,Team G,Team J,Los Angeles,Los Angeles,90,89,92,82,99,73,1,0.5,0.4825996217788187,0.4718897654795565,7648
2021,2021-03-13,Team I,Team D,Phoenix,Houston,86,78,93,78,91,90,1,0.24999999999999994,0.4949957274978646,0.47011516180761403,11846
2021,2021-04-16,Team F,Team C,Toronto,Los Angeles,87,75,82,77,95,92,1,0.85,0.5170808410561715,0.4690956537258337,11315
2022,2022-06-06,Team B,Team G,Chicago,Los Angeles,84,75,89,80,73,99,0,0.35,0.508427936504667,0.5179095684365081,12026
2023,2023-03-10,Team A,Team B,Boston,Chicago,90,83,75,80,94,60,1,0.9,0.4473973128570888,0.5042719348709981,12857
2020,2020-08-29,Team E,Team H,Los Angeles,New York,76,79,93,78,70,108,0,0.1,0.43295412740061423,0.5128709294144368,11471
2023,2023-03-22,Team A,Team B,Dallas,Los Angeles,89,74,75,83,90,71,1,0.9,0.48016793260808416,0.45950844234714255,13795
2022,2022-04-06,Team D,Team E,Philadelphia,Toronto,76,84,82,71,92,60,1,0.29999999999999993,0.4714460352339716,0.46510636296041896,14755
2021,2021-06-16,Team J,Team C,Los Angeles,New York,80,79,82,82,86,68,1,0.5,0.5364319795927986,0.4557173148607211,12210
2022,2022-02-21,Team I,Team A,Philadelphia,Dallas,76,73,86,80,68,106,0,0.1,0.47792966276845567,0.455385091759064,10177
2020,2020-09-17,Team C,Team G,Houston,Miami,82,79,93,76,82,96,0,0.1,0.4460459207968454,0.49838938362579693,6875
2023,2023-11-17,Team D,Team I,Toronto,Philadelphia,90,89,88,75,83,60,1,0.7,0.4982715614369874,0.4567956494229003,15625
2020,2020-08-09,Team C,Team D,Philadelphia,Dallas,84,80,94,85,79,82,0,0.1,0.4666818909232245,0.537950391948006,10600
2020,2020-12-07,Team F,Team B,Boston,Toronto,84,74,91,70,128,93,1,0.24999999999999994,0.5229132537245833,0.47191136690927615,10544
2022,2022-08-24,Team H,Team J,Philadelphia,Houston,84,85,79,74,86,60,1,0.85,0.41672843422211786,0.5258886194773449,12019
2021,2021-03-18,Team A,Team B,Phoenix,Chicago,89,75,75,85,77,93,0,0.9,0.489032655742765,0.5205975221436449,11054
2021,2021-01-02,Team G,Team E,New York,Boston,83,78,92,72,95,93,1,0.14999999999999997,0.44603671048569904,0.5053135372558734,11071
2022,2022-02-30,Team H,Team C,Los Angeles,Phoenix,89,71,93,83,75,103,0,0.39999999999999997,0.42251296773222596,0.45821015309353186,9623
2023,2023-04-08,Team A,Team F,New York,Chicago,76,77,79,81,60,71,0,0.44999999999999996,0.45964981498073354,0.5004735711510645,9331
2021,2021-02-19,Team A,Team H,Boston,Los Angeles,91,82,91,82,77,90,0,0.6,0.45234935184733127,0.48289035605420905,6994
2020,2020-08-22,Team I,Team E,Chicago,Los Angeles,94,75,86,82,113,72,1,0.9,0.416736754442797,0.5063314607116276,13800
2022,2022-06-07,Team A,Team D,Toronto,Dallas,80,81,90,84,64,94,0,0.1,0.4541665064984498,0.5093118193536187,8710
2021,2021-11-22,Team G,Team I,Houston,Chicago,86,87,85,76,101,79,1,0.65,0.46537752995289816,0.5062511058476928,10061
2021,2021-03-09,Team J,Team G,Houston,Chicago,88,75,80,85,81,88,0,0.9,0.4804316271423052,0.48611514527185573,12479
2020,2020-08-27,Team J,Team H,Chicago,Phoenix,77,75,76,85,72,73,0,0.65,0.5112320168835398,0.42682189612372884,10322
2023,2023-12-13,Team E,Team C,Houston,Philadelphia,86,70,80,75,91,80,1,0.9,0.43555601807333943,0.4445385921181872,10684
2021,2021-07-15,Team B,Team H,Boston,Phoenix,92,73,88,80,96,108,0,0.8,0.4722277168788246,0.5092187961044816,12441
2021,2021-06-05,Team G,Team E,Miami,Toronto,84,71,94,70,95,122,0,0.1,0.5172128196622853,0.4828194294490504,12387
2022,2022-07-12,Team D,Team E,Los Angeles,New York,93,79,75,75,124,63,1,0.9,0.5066428336456889,0.5091301361843955,11385
2022,2022-10-23,Team J,Team I,New York,New York,83,74,82,86,64,77,0,0.65,0.4664584415986859,0.42566016763456327,11892
2020,2020-11-06,Team I,Team J,Houston,Toronto,78,89,83,74,91,65,1,0.35,0.4956426113413481,0.43745839989135965,8795
2020,2020-12-15,Team A,Team B,Phoenix,Toronto,79,84,89,88,60,88,0,0.1,0.51678922712771,0.49620857355442494,12821
2020,2020-04-07,Team E,Team D,Miami,Los Angeles,92,88,83,71,130,70,1,0.9,0.574197764050922,0.48027446917759176,9652
2020,2020-04-08,Team G,Team H,Phoenix,Toronto,90,77,78,86,79,77,1,0.9,0.5178758059115599,0.4844886655397894,8714
2022,2022-01-07,Team I,Team J,Miami,Miami,77,70,84,78,75,108,0,0.24999999999999994,0.4715192489274555,0.46639995523061,8440
2022,2022-03-15,Team H,Team J,Los Angeles,Toronto,84,88,88,73,99,66,1,0.39999999999999997,0.4663051725993223,0.5064891674215878,12651
2022,2022-09-27,Team C,Team J,Phoenix,Toronto,88,75,85,70,103,94,1,0.75,0.4895264815659424,0.47046924589884,12069
2020,2020-04-09,Team C,Team F,Dallas,New York,78,78,76,75,89,69,1,0.7,0.4270039428612764,0.5088069047985366,13264
2022,2022-05-15,Team F,Team H,Boston,Philadelphia,81,88,75,75,80,60,1,0.9,0.4639909773328018,0.44839834371937193,7730
2020,2020-06-20,Team H,Team I,Chicago,New York,90,76,83,74,112,62,1,0.9,0.46159578436394005,0.4883207548495044,12098
2021,2021-01-03,Team D,Team B,Philadelphia,Dallas,93,85,83,72,105,60,1,0.9,0.5220319821267219,0.456628905067346,10777
2021,2021-07-11,Team A,Team D,New York,Chicago,88,78,78,72,90,87,1,0.9,0.3786828074192569,0.45678887156642,15272
2023,2023-03-30,Team A,Team F,Boston,Chicago,83,78,89,89,60,91,0,0.29999999999999993,0.49170228769531915,0.4738818065003561,5735
2021,2021-07-26,Team J,Team E,Houston,Los Angeles,85,89,82,71,109,60,1,0.75,0.47335512485276976,0.45483050544589115,6780
2023,2023-06-29,Team D,Team J,Houston,Houston,89,82,78,89,73,60,1,0.9,0.49598564127911954,0.4879612684689467,13778
2023,2023-04-28,Team A,Team C,Boston,Los Angeles,76,73,89,77,72,91,0,0.1,0.45808496373359936,0.48025210820072395,9520
2022,2022-09-18,Team J,Team G,Los Angeles,Dallas,93,87,94,83,92,84,1,0.5499999999999999,0.49348286546255093,0.4781009522004926,13344
2021,2021-06-08,Team A,Team G,Toronto,Philadelphia,82,72,75,89,60,73,0,0.9,0.47796387808370117,0.5294454595943676,9524
2020,2020-12-02,Team I,Team D,Chicago,Boston,89,87,89,72,100,60,1,0.6,0.5609298478997137,0.4835113123478511,8961
2020,2020-12-10,Team G,Team B,Phoenix,Phoenix,79,82,89,70,91,77,1,0.1,0.4595628691049083,0.46074615905391186,10142
2021,2021-08-09,Team A,Team F,Phoenix,Chicago,82,89,82,71,103,60,1,0.6,0.533750699525181,0.46306643725845514,14991
2021,2021-09-11,Team B,Team E,New York,New York,79,74,83,87,60,73,0,0.39999999999999997,0.4965460984120075,0.44687397361551123,12641
2022,2022-04-28,Team H,Team I,Philadelphia,Dallas,92,87,91,84,93,82,1,0.65,0.45369669700427384,0.4559678585043205,7000
2021,2021-11-11,Team J,Team C,Houston,Miami,90,81,92,75,100,74,1,0.5,0.5421158032636061,0.4762396129755156,11519
2020,2020-10-27,Team E,Team B,Phoenix,Toronto,80,74,75,84,60,60,0,0.85,0.4267634805156241,0.4476317886231049,9343
2021,2021-10-12,Team A,Team J,Miami,Houston,93,75,86,86,92,86,1,0.9,0.45889087125012473,0.4860728438284524,9368
2021,2021-06-25,Team I,Team E,Miami,Los Angeles,88,79,85,81,69,87,0,0.75,0.4959307213846147,0.5578233600439987,11347
2023,2023-10-12,Team D,Team G,Phoenix,Dallas,81,75,85,72,88,74,1,0.39999999999999997,0.42874717984691485,0.4707665227673665,12136
2022,2022-03-26,Team J,Team H,Toronto,Dallas,76,81,81,72,91,68,1,0.35,0.46387848409858373,0.4978822318161745,10030
2020,2020-07-08,Team B,Team C,Boston,Philadelphia,79,88,79,85,60,60,0,0.6,0.43782355202469486,0.5210401534382104,10346
2022,2022-02-07,Team A,Team D,Chicago,New York,87,77,78,77,86,70,1,0.9,0.4454844689345793,0.4824458534122469,11026
2020,2020-05-05,Team C,Team A,Los Angeles,New York,80,70,91,71,103,120,0,0.1,0.48360705456596653,0.5475093848095104,7673
2022,2022-09-24,Team I,Team C,Toronto,Houston,83,81,76,73,102,60,1,0.9,0.5381205505591241,0.5009802507314952,9639
2020,2020-09-01,Team G,Team F,New York,Phoenix,85,76,78,71,102,64,1,0.9,0.4594266328201103,0.4883670207590802,11012
2021,2021-10-29,Team C,Team F,Dallas,New York,94,78,83,83,110,69,1,0.9,0.5247046471846151,0.5158325506882915,10309
2023,2023-06-16,Team B,Team F,Dallas,Chicago,85,85,90,79,82,87,0,0.35,0.5258338565516185,0.43215886803062875,11288
